"tplace","fplace","id","from","to","fid","tid","fpid","tpi","date","lang","archive","year","flat","flng","tlat","tlng"
" ","Regensburg",822,"PIMPINELLO Vicenzo","DANTISCUS Ioannes",182,1,21,0,"1532-08-31","Latin","UUB",1532,49.01343,12.101624,NA,NA
" ","Nuremberg",784,"CAMPEN Jan van","DANTISCUS Ioannes",126,1,36,0,"1532-05-04","Latin","UUB",1532,49.45203,11.07675,NA,NA
" ","Stuhm ",986,"BAYSEN Georg von","DANTISCUS Ioannes",144,1,132,0,"1533-07-26","German","BCz",1533,53.632826,10.102875,NA,NA
" ","Löbau",897,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,15,0,"1533-02-22","Latin","BNW",1533,51.096229,14.670178,NA,NA
" ","Thorn",969,"Thorn, town council","DANTISCUS Ioannes",1010,1,18,0,"1533-07-03","German","AAWO",1533,53.01379,18.598444,NA,NA
" ","Rheden",5572,"LUSIAN Johann von","DANTISCUS Ioannes",307,1,181,0,"1537-06-04","German","AAWO",1537,52.057844,9.7871,NA,NA
" ","Löbau",1536,"DANTISCUS Ioannes","Joachim II von Brandenburg Hektor",1,576,15,0,"1536-09-05","German","BCz",1536,51.096229,14.670178,NA,NA
" ","Nuremberg",776,"CAMPEN Jan van","DANTISCUS Ioannes",126,1,36,0,"1532-04-23","Latin","UUB",1532,49.45203,11.07675,NA,NA
" ","Rheden",4291,"LUSIAN Johann von","DANTISCUS Ioannes",307,32,181,0,"1536-05-06","German","AAWO",1536,52.057844,9.7871,NA,NA
" ","Rheden",6052,"LUSIAN Johann von","DANTISCUS Ioannes",307,1,181,0,"1536-04-22","German","AAWO",1536,52.057844,9.7871,NA,NA
" ","Königsberg",4939,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,84,0,"1538-10-25","German","AAWO",1538,54.7116095,20.46453,NA,NA
" ","Königsberg",5098,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,84,0,"1544-10-11","German","GStA PK",1544,54.7116095,20.46453,NA,NA
" ","Sandomierz",3352,"TARNOWSKI Jan Amor","DANTISCUS Ioannes",88,1,184,0,"1548-03-19","Latin","AAWO",1548,50.682241,21.750178,NA,NA
" ","Königsberg",5089,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,84,0,"1544-02-19","German","GStA PK",1544,54.7116095,20.46453,NA,NA
" ","Vilnius",432,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,8,0,"1529-07-12","Latin","BCz",1529,54.687156,25.279651,NA,NA
" ","Königsberg",4974,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,84,0,"1540-01-04","German","BCz",1540,54.7116095,20.46453,NA,NA
" ","Löbau",3995,"DANTISCUS Ioannes","HANNAU Simon",1,425,15,0,"1537-04-12","German","AAWO",1537,51.096229,14.670178,NA,NA
" ","Nuremberg",805,"EOBANUS Helius Hessus","DANTISCUS Ioannes",2,1,36,0,"1532-07-01","Latin","AAWO",1532,49.45203,11.07675,NA,NA
" ","Löbau",3981,"DANTISCUS Ioannes","LUSIAN Johann von",1,307,15,0,"1536-03-16","German","AAWO",1536,51.096229,14.670178,NA,NA
" ","Riebnig ",5880,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,408,0,"1537-09-13","German","AAWO",1537,NA,NA,NA,NA
" ","Thorn",1822,"AURIMONTANUS Hieronymus","DANTISCUS Ioannes",4,1,18,0,"1537-12-20","Latin","AAWO",1537,53.01379,18.598444,NA,NA
" ","Vilnius",2367,"HOZJUSZ Stanisław","DANTISCUS Ioannes",8,1,8,0,"1540-12-18","Latin","BCz",1540,54.687156,25.279651,NA,NA
" ","Leuven ",1205,"MAUCH Daniel","DANTISCUS Ioannes",94,1,75,0,"1534-07-25","Latin","AAWO",1534,50.883333,4.7,NA,NA
" ","Vilnius",5496,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,8,0,"1536-04-22","Latin","BNW",1536,54.687156,25.279651,NA,NA
" ","Thorn",2042,"RUDGER Martin","DANTISCUS Ioannes",291,1,18,0,"1539-01-10","Latin","BCz",1539,53.01379,18.598444,NA,NA
" ","Rogóźno",3179,"CZERNA Hanna","DANTISCUS Ioannes",352,1,72,0,"1547-08-02","Polish","AAWO",1547,52.74965,17.00343,NA,NA
" ","Löbau",1721,"DANTISCUS Ioannes","GIESE Tiedemann",1,275,15,0,"1537-09-24","Latin","BCz",1537,51.096229,14.670178,NA,NA
" ","Vilnius",1290,"CHOJEŃSKI Jan","DANTISCUS Ioannes",100,1,8,0,"1535-03-13","Latin","AAWO",1535,54.687156,25.279651,NA,NA
" ","Olkusz",6314,"AICHLER Jan","DANTISCUS Ioannes",370,1,423,0,"1540-12-30","German","BCz",1540,NA,NA,NA,NA
" ","Opatów",1270,"DRZEWICKI Maciej","DANTISCUS Ioannes",67,1,167,0,"1535-01-27","Latin","BCz",1535,NA,NA,NA,NA
" ","Wartenburg",2064,"DANTISCUS Ioannes","GIESE Tiedemann",1,275,215,0,"1539-01-28","Latin","",1539,51.810597,12.777408,NA,NA
" ","Valladolid",5628,"ALOBERA Luis","DANTISCUS Ioannes",545,1,40,0,"1537-10-02","Latin","AAWO",1537,41.652251,-4.724532,NA,NA
" ","Piotrków",187,"ZAMBOCKI Jan","DANTISCUS Ioannes",71,1,6,0,"1523-10-20","Latin","AAWO",1523,51.405172,19.703024,NA,NA
" ","Löbau",4767,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,15,0,"1539-02-13","Latin","AAWO",1539,51.096229,14.670178,NA,NA
" ","Rome",6218,"Paul III","DANTISCUS Ioannes",529,1,7,0,"1542-02-04","Latin","ASV",1542,41.872389,12.48018,NA,NA
" ","Löbau",1731,"DANTISCUS Ioannes","OPALIŃSKI Piotr",1,323,15,0,"1537-09-28","Latin","BCz",1537,51.096229,14.670178,NA,NA
" ","Rome",3564,"RZECZYCA Stanisław","DANTISCUS Ioannes",112,1,7,0,"1533-05-04","Latin","BCz",1533,41.872389,12.48018,NA,NA
" ","Löbau",4021,"DANTISCUS Ioannes","Simon, painter in Löbau",1,826,15,0,"1535-12-31","German","AAWO",1535,51.096229,14.670178,NA,NA
" ","Ostróg ",3540,"OSTROGSKI Ilia Konstantynowicz","DANTISCUS Ioannes",475,1,300,0,"1532-09-25","Latin","BCz",1532,NA,NA,NA,NA
" ","Vilnius",1527,"CHOJEŃSKI Jan","DANTISCUS Ioannes",100,1,8,0,"1536-08-03","Latin","AAWO",1536,54.687156,25.279651,NA,NA
" ","Płock",3578,"LEWICKI Jan","DANTISCUS Ioannes",116,1,78,0,"1533-09-26","Latin","BCz",1533,52.546345,19.706536,NA,NA
" ","Löbau",5393,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,15,0,"1533-07-02","German","GStA PK",1533,51.096229,14.670178,NA,NA
" ","Vilnius",3577,"CHOJEŃSKI Jan","DANTISCUS Ioannes",100,1,8,0,"1533-09-10","Latin","BCz",1533,54.687156,25.279651,NA,NA
" ","Löbau",2194,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,15,0,"1539-07-18","Latin","BCz",1539,51.096229,14.670178,NA,NA
" ","Płock",2010,"SRZEŃSKI Szczęsny (Feliks)","DANTISCUS Ioannes",162,1,78,0,"1538-12-05","Latin","BCz",1538,52.546345,19.706536,NA,NA
" ","Königsberg",6336,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,84,0,"1548-05-27","German","BCz",1548,54.7116095,20.46453,NA,NA
" ","Rome",6216,"Paul III","DANTISCUS Ioannes",529,1,7,0,"1546-02-16","Latin","ASV",1546,41.872389,12.48018,NA,NA
" ","Löbau",4572,"RULANDT Valentinus","DANTISCUS Ioannes",294,1,15,0,"1538-04-24","Latin","AAWO",1538,51.096229,14.670178,NA,NA
" ","Vilnius",1231,"ALIFIO Lodovico","DANTISCUS Ioannes",105,1,8,0,"1534-10-22","Latin","AAWO",1534,54.687156,25.279651,NA,NA
" ","Thorn",4293,"Thorn, town council","DANTISCUS Ioannes",1010,1,18,0,"1536-07-03","German","AAWO",1536,53.01379,18.598444,NA,NA
" ","Szczekociny",1634,"SZCZEPANOWSKI Erazm","DANTISCUS Ioannes",286,1,189,0,"1537-04-27","Latin","AAWO",1537,NA,NA,NA,NA
" ","Preußisch Mark ",4553,"WERDEN Johann von","DANTISCUS Ioannes",9,1,161,0,"1538-01-24","German","AAWO",1538,NA,NA,NA,NA
" ","Rome",5639,"RHEDEN Dietrich von","DANTISCUS Ioannes",274,1,7,0,"1538-11-23","Latin","AAWO",1538,41.872389,12.48018,NA,NA
" ","Vilnius",1289,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,16,8,0,"1535-03-06","Latin","BCz",1535,54.687156,25.279651,NA,NA
" ","Płock",1380,"LEWICKI Jan","DANTISCUS Ioannes",727,1,78,0,"1535-12-14","Latin","AAWO",1535,52.546345,19.706536,NA,NA
" ","Vilnius",1499,"Bona  Sforza","DANTISCUS Ioannes",7,1,8,0,"1536-07-08","Latin","BCz",1536,54.687156,25.279651,NA,NA
" ","Płock",1046,"LEWICKI Jan","DANTISCUS Ioannes",116,1,78,0,"1533-11-22","Latin","BCz",1533,52.546345,19.706536,NA,NA
" ","Vilnius",413,"Sigismund II Augustus  Jagiellon","DANTISCUS Ioannes",12,1,8,0,"1548-03-28","Latin","B. PAU-PAN",1548,54.687156,25.279651,NA,NA
" ","Thorn",4250,"HITFELD Konrad","DANTISCUS Ioannes",278,1,18,0,"1534-10-30","German","AAWO",1534,53.01379,18.598444,NA,NA
" ","Płock",1350,"SRZEŃSKI Szczęsny (Feliks)","DANTISCUS Ioannes",162,1,78,0,"1535-08-29","Polish","AAWO",1535,52.546345,19.706536,NA,NA
" ","Vilnius",1374,"CHOJEŃSKI Jan","DANTISCUS Ioannes",100,1,8,0,"1535-11-24","Latin","AAWO",1535,54.687156,25.279651,NA,NA
" ","Płock",1207,"SRZEŃSKI Szczęsny (Feliks)","DANTISCUS Ioannes",162,1,78,0,"1537-07-30","Latin","AAWO",1537,52.546345,19.706536,NA,NA
" ","Königsberg",5085,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,84,0,"1543-11-28","German","GStA PK",1543,54.7116095,20.46453,NA,NA
" ","Mława",1032,"SRZEŃSKI Szczęsny (Feliks)","DANTISCUS Ioannes",162,1,150,0,"1533-11-02","Polish","AAWO",1533,NA,NA,NA,NA
" ","Padova",856,"BONAMICO Lazzaro","DANTISCUS Ioannes",187,1,82,0,"1532-11-23","Latin","AAWO",1532,45.406435,11.876761,NA,NA
" ","Rome",6214,"Clement VII","DANTISCUS Ioannes",81,1,7,0,"1531-01-27","Latin","ASV",1531,41.872389,12.48018,NA,NA
" ","Mühlhausen",5439,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,378,0,"1538-07-29","German","BCz",1538,NA,NA,NA,NA
" ","Rome",6213,"Clement VII","DANTISCUS Ioannes",81,1,7,0,"1533-08-07","Latin","ASV",1533,41.872389,12.48018,NA,NA
" ","Maastricht",579,"DE SCHEPPER Cornelis","DANTISCUS Ioannes",719,1,92,0,"1531-01-17","Latin","AAWO",1531,NA,NA,NA,NA
" ","Thorn",1994,"ZIMMERMANN Georg","DANTISCUS Ioannes",240,1,18,0,"1538-11-20","Latin","BCz",1538,53.01379,18.598444,NA,NA
" ","Madrid",1337,"CUON Alberto","DANTISCUS Ioannes",17,1,45,0,"1535-07-06","German","AAWO",1535,40.416775,-3.70379,NA,NA
" ","Thorn",1913,"AURIMONTANUS Hieronymus","DANTISCUS Ioannes",4,1,18,0,"1538-09-04","Latin","BCz",1538,53.01379,18.598444,NA,NA
" ","Madrid",5790,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,45,0,"1529-07-27","Latin","BK",1529,40.416775,-3.70379,NA,NA
" ","Madrid",233,"DANTISCUS Ioannes","TOMICKI Piotr",1,69,45,0,"1525-02-07","Latin","BNW",1525,40.416775,-3.70379,NA,NA
" ","Löbau",1438,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,15,0,"1536-04-07","Latin","BCz",1536,51.096229,14.670178,NA,NA
" ","Löbau",1900,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,15,0,"1538-08-09","Latin","BCz",1538,51.096229,14.670178,NA,NA
" ","Löbau",2061,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,15,0,"1539-01-25","Latin","BCz",1539,51.096229,14.670178,NA,NA
" ","Toledo",1156,"SECUNDUS Ioannes","DANTISCUS Ioannes",57,1,46,0,"1534-04-28","Latin","BK",1534,39.8622093,-3.9910839,NA,NA
" ","Speyer",693,"LOGAU Georg von","DANTISCUS Ioannes",260,1,67,0,"1531-10-06","German","AAWO",1531,49.317277,8.441217,NA,NA
" ","Löbau",3623,"Baltazar of Lublin","DANTISCUS Ioannes",319,1,15,0,"1538-02-20","Latin","BCz",1538,51.096229,14.670178,NA,NA
" ","Speyer",695,"Ferdinand I von Habsburg","DANTISCUS Ioannes",194,1,67,0,"1531-10-09","Latin","BNW",1531,49.317277,8.441217,NA,NA
" ","Rome",802,"RZECZYCA Stanisław","DANTISCUS Ioannes",112,1,7,0,"1532-06-23","Latin","AAWO",1532,41.872389,12.48018,NA,NA
" ","Palencia",5789,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,60,0,"1527-10-09","Latin","BK",1527,42.009686,-4.528802,NA,NA
" ","Palencia",1219,"MONTEREGALE Petrus Mirabilis de","DANTISCUS Ioannes",233,1,60,0,"1534-08-21","Latin","AAWO",1534,42.009686,-4.528802,NA,NA
" ","Königsberg",4997,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,84,0,"1540-05-06","German","GStA PK",1540,54.7116095,20.46453,NA,NA
" ","Palencia",374,"MERKLIN Balthasar  von Waldkirch","DANTISCUS Ioannes",89,1,60,0,"1527-09-10","Latin","BK",1527,42.009686,-4.528802,NA,NA
" ","Vilnius",1284,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,8,0,"1535-02-24","German","BCz",1535,54.687156,25.279651,NA,NA
" ","Toledo",246,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,46,0,"1525-06-01","Latin","",1525,39.8622093,-3.9910839,NA,NA
" ","Rome",5187,"RHEDEN Dietrich von","DANTISCUS Ioannes",274,1,7,0,"1539-07-16","Latin","AAWO",1539,41.872389,12.48018,NA,NA
" ","Toledo",416,"DANTISCUS Ioannes","Bona  Sforza",1,7,46,0,"1528-11-19","Latin","BCz",1528,39.8622093,-3.9910839,NA,NA
" ","Königsberg",4963,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,84,0,"1539-09-21","German","BCz",1539,54.7116095,20.46453,NA,NA
" ","Löbau",3988,"DANTISCUS Ioannes","EHINGER Ulrich",1,44,15,0,"1537-11-16","German","AAWO",1537,51.096229,14.670178,NA,NA
" ","Rome",4086,"HANNAU Kaspar","DANTISCUS Ioannes",210,1,7,0,"1544-11-27","Latin","AAWO",1544,41.872389,12.48018,NA,NA
" ","Löbau",3635,"Baltazar of Lublin","DANTISCUS Ioannes",319,1,15,0,"1538-03-30","Latin","BCz",1538,51.096229,14.670178,NA,NA
" ","Strasburg in Preussen ",6001,"DZIAŁYŃSKI Mikołaj","DANTISCUS Ioannes",188,1,131,0,"1534-05-25","Low German","AAWO",1534,53.2578925,19.4075638,NA,NA
" ","Wormditt",3026,"DANTISCUS Ioannes","SCHEWECKE Georg",1,33,207,0,"1545-10-18","German","AAWO",1545,54.115831,20.130606,NA,NA
" ","Wormditt",4096,"DANTISCUS Ioannes","ZEHMEN Achatius von",1,16,207,0,"1540-05-27","German","AAWO",1540,54.115831,20.130606,NA,NA
" ","Poznań",3604,"Ioannes","DANTISCUS Ioannes",476,1,121,0,"1537-05-13","Latin","BCz",1537,52.406374,16.925168,NA,NA
" ","Vilnius",1244,"Bona  Sforza","DANTISCUS Ioannes",7,1,8,0,"1534-12-06","Latin","BCz",1534,54.687156,25.279651,NA,NA
" ","Rome",6212,"Clement VII","DANTISCUS Ioannes",81,1,7,0,"1533-08-07","Latin","ASV",1533,41.872389,12.48018,NA,NA
" ","Vilnius",1373,"Bona  Sforza","DANTISCUS Ioannes",7,1,8,0,"1535-11-18","Latin","BCz",1535,54.687156,25.279651,NA,NA
" ","Löbau",1759,"DANTISCUS Ioannes","BAYSEN Georg von",1,1010,15,0,"1537-11-02","German","BCz",1537,51.096229,14.670178,NA,NA
" ","Poznań",1654,"GÓRKA Łukasz","DANTISCUS Ioannes",181,1,121,0,"1537-07-01","Latin","BCz",1537,52.406374,16.925168,NA,NA
" ","Wrocław",5632,"LOGSCHAU Georg von","DANTISCUS Ioannes",219,1,39,0,"1538-06-04","Latin","AAWO",1538,51.107885,17.038538,NA,NA
" ","Regensburg",3538,"GHILINO Camillo","DANTISCUS Ioannes",250,1,21,0,"1532-08-29","Latin","BCz",1532,49.01343,12.101624,NA,NA
" ","Löbau",1725,"DANTISCUS Ioannes","WOLSKI Paweł",1,281,15,0,"1537-09-25","Latin","BCz",1537,51.096229,14.670178,NA,NA
" ","Stuhm ",925,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,132,0,"1533-04-02","German","AAWO",1533,53.632826,10.102875,NA,NA
" ","Mewe",999,"BAYSEN Georg von","DANTISCUS Ioannes",144,1,99,0,"1533-08-30","Latin","AAWO",1533,NA,NA,NA,NA
" ","Stuhm ",6176,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,132,0,"1532-02-02","German","AAWO",1532,53.632826,10.102875,NA,NA
" ","Piotrków",3774,"HOLSTEN Hans","DANTISCUS Ioannes",311,1,6,0,"1538-02-15","Low German","BCz",1538,51.405172,19.703024,NA,NA
" ","Rome",2827,"LOK Mikołaj","DANTISCUS Ioannes",322,1,7,0,"1545-05-08","Latin","BCz",1545,41.872389,12.48018,NA,NA
" ","Marienburg",843,"KOSTKA Stanisław","DANTISCUS Ioannes",185,1,83,0,"1532-10-22","Latin","BCz",1532,52.172531,9.766577,NA,NA
" ","Rome",1617,"CAMPEN Jan van","DANTISCUS Ioannes",126,1,7,0,"1537-04-06","Latin","AAWO",1537,41.872389,12.48018,NA,NA
" ","Wschowa",1828,"GÓRSKI Piotr","DANTISCUS Ioannes",942,1,200,0,"1538-06-11","Latin","BCz",1538,NA,NA,NA,NA
" ","Vilnius",1375,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,8,0,"1535-11-26","German","AAWO",1535,54.687156,25.279651,NA,NA
" ","Vienna",205,"DANTISCUS Ioannes","TOMICKI Piotr",1,69,42,0,"1524-03-30","Latin","BNW",1524,48.208174,16.373819,NA,NA
" ","Löbau",5391,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,15,0,"1533-04-12","German","GStA PK",1533,51.096229,14.670178,NA,NA
" ","Thorn",5939,"HITFELD Konrad","DANTISCUS Ioannes",201,1,18,0,"1538-07-02","German","AAWO",1538,53.01379,18.598444,NA,NA
" ","Kielce",1246,"TOMICKI Piotr","DANTISCUS Ioannes",69,1,163,0,"1534-12-11","Latin","BCz",1534,NA,NA,NA,NA
" ","Rome",2362,"PUCCI Antonio","DANTISCUS Ioannes",401,1,7,0,"1540-11-30","Latin","AAWO",1540,41.872389,12.48018,NA,NA
" ","Löbau",1189,"DANTISCUS Ioannes","KREYTZEN Johann von",1,151,15,0,"1534-07-11","German","AAWO",1534,51.096229,14.670178,NA,NA
" ","Stuhm ",5991,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,132,0,"1533-11-02","German","AAWO",1533,53.632826,10.102875,NA,NA
" ","Marienburg",1079,"KOSTKA Stanisław","DANTISCUS Ioannes",185,1,83,0,"1534-01-08","Latin","AAWO",1534,52.172531,9.766577,NA,NA
" ","Löbau",1947,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,15,0,"1538-10-21","Latin","BCz",1538,51.096229,14.670178,NA,NA
" ","Piotrków",3553,"TOMICKI Piotr","DANTISCUS Ioannes",69,1,6,0,"1533-01-18","Latin","BCz",1533,51.405172,19.703024,NA,NA
" ","Piotrków",3603,"GÓRKA Łukasz","DANTISCUS Ioannes",181,1,6,0,"1537-03-02","Latin","BCz",1537,51.405172,19.703024,NA,NA
" ","Vollenhove",3703,"SCHENCK Georg van  Tautenburg","DANTISCUS Ioannes",122,1,308,0,"1531-06-08","German","BCz",1531,52.680911,5.949371,NA,NA
" ","Vienna",204,"DANTISCUS Ioannes","TOMICKI Piotr",1,69,42,0,"1524-03-28","Latin","BNW",1524,48.208174,16.373819,NA,NA
" ","Rheden",4479,"LUSIAN Johann von","DANTISCUS Ioannes",307,1,181,0,"1537-05-11","German","AAWO",1537,52.057844,9.7871,NA,NA
" ","Löbau",5408,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,15,0,"1534-09-04","German","GStA PK",1534,51.096229,14.670178,NA,NA
" ","Preußisch Mark ",4279,"WERDEN Johann von","DANTISCUS Ioannes",9,1,161,0,"1536-01-04","German","AAWO",1536,NA,NA,NA,NA
" ","Vienna",3597,"ROGENDORF Wilhelm von","DANTISCUS Ioannes",461,1,42,0,"1535-08-20","Latin","BCz",1535,48.208174,16.373819,NA,NA
" ","Löbau",1477,"DANTISCUS Ioannes","DZIAŁYŃSKI Mikołaj",1,188,15,0,"1536-06-06","German","BCz",1536,51.096229,14.670178,NA,NA
" ","Preußisch Mark ",4306,"WERDEN Johann von","DANTISCUS Ioannes",9,1,161,0,"1536-09-16","German","AAWO",1536,NA,NA,NA,NA
" ","Piotrków",3618,"MACIEJOWSKI Samuel","DANTISCUS Ioannes",38,1,6,0,"1538-02-14","Latin","BCz",1538,51.405172,19.703024,NA,NA
" ","Kobiele",1563,"DANTISCUS Ioannes","WOJANOWSKI Fabian",1,42,186,0,"1536-12-06","Latin","BCz",1536,NA,NA,NA,NA
" ","Piotrków",3551,"KRZYCKI Andrzej","DANTISCUS Ioannes",75,1,6,0,"1533-01-18","Latin","BCz",1533,51.405172,19.703024,NA,NA
" ","Valladolid",338,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,40,0,"1527-05-06","Latin","",1527,41.652251,-4.724532,NA,NA
" ","Rheden",1448,"LUSIAN Johann von","DANTISCUS Ioannes",307,1,181,0,"1536-05-05","German","AAWO",1536,52.057844,9.7871,NA,NA
" ","Preußisch Mark ",5904,"WERDEN Johann von","DANTISCUS Ioannes",9,1,161,0,"1538-01-19","German","AAWO",1538,NA,NA,NA,NA
" ","Löbau",1593,"DANTISCUS Ioannes","OPALIŃSKI Piotr",1,323,15,0,"1537-03-16","Latin","",1537,51.096229,14.670178,NA,NA
" ","Vilnius",1167,"Bona  Sforza","DANTISCUS Ioannes",7,1,8,0,"1534-06-02","Latin","BNW",1534,54.687156,25.279651,NA,NA
" ","Koronowo",1467,"Maciej, Abbot in Koronowo","DANTISCUS Ioannes",133,1,180,0,"1536-06-18","Latin","AAWO",1536,NA,NA,NA,NA
" ","Piotrków",3550,"DRZEWICKI Maciej","DANTISCUS Ioannes",67,1,6,0,"1533-01-16","Latin","BCz",1533,51.405172,19.703024,NA,NA
" ","Löbau",1421,"DANTISCUS Ioannes","DE SCHEPPER Cornelis",1,719,15,0,"1536-02-24","Latin","",1536,51.096229,14.670178,NA,NA
" ","Sannicandro di Bari",3800,"VIOL Johann","DANTISCUS Ioannes",429,1,321,0,"1530-05-16","German","BCz",1530,NA,NA,NA,NA
" ","Valladolid",1657,"GRACIÁN Diego de Alderete","DANTISCUS Ioannes",5,1,40,0,"1537-07-06","Latin","AAWO",1537,41.652251,-4.724532,NA,NA
" ","Marienburg",5931,"Royal Prussia's Council","DANTISCUS Ioannes",1008,1,83,0,"1538-05-15","German","AAWO",1538,52.172531,9.766577,NA,NA
" ","Piotrków",1102,"KRZYCKI Andrzej","DANTISCUS Ioannes",75,1,6,0,"1534-01-23","Latin","AAWO",1534,51.405172,19.703024,NA,NA
" ","Piotrków",3775,"KONOPAT Georg von sr.","DANTISCUS Ioannes",148,1,6,0,"1538-02-16","German","BCz",1538,51.405172,19.703024,NA,NA
" ","Wartenburg",3588,"FERBER Mauritius","DANTISCUS Ioannes",32,1,215,0,"1534-09-26","Latin","BCz",1534,51.810597,12.777408,NA,NA
" ","Preußisch Mark ",4307,"WERDEN Johann von","DANTISCUS Ioannes",9,1,161,0,"1536-09-18","Low German","AAWO",1536,NA,NA,NA,NA
" ","Löbau",1163,"DANTISCUS Ioannes","Bona  Sforza",1,7,15,0,"1534-05-22","Latin","BNW",1534,51.096229,14.670178,NA,NA
" ","Preußisch Mark ",3776,"WERDEN Johann von","DANTISCUS Ioannes",9,1,161,0,"1538-02-18","German","BCz",1538,NA,NA,NA,NA
" ","Weißenhorn ",3751,"FUGGER Anton","DANTISCUS Ioannes",173,1,318,0,"1535-09-15","German","BCz",1535,NA,NA,NA,NA
" ","Valladolid",223,"DANTISCUS Ioannes","TOMICKI Piotr",1,69,40,0,"1524-11-12","Latin","BNW",1524,41.652251,-4.724532,NA,NA
" ","Schmiechen",6054,"FUGGER Anton","DANTISCUS Ioannes",173,1,388,0,"1536-02-21","German","AAWO",1536,NA,NA,NA,NA
" ","Löbau",1055,"DANTISCUS Ioannes","WERDEN Johann von",1,9,15,0,"1533-12-09","German","AAWO",1533,51.096229,14.670178,NA,NA
" ","Marienburg",952,"KOSTKA Stanisław","DANTISCUS Ioannes",185,1,83,0,"1533-05-21","Latin","BCz",1533,52.172531,9.766577,NA,NA
" ","Schmolainen",5479,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,219,0,"1541-01-24","German","GStA PK",1541,54.0264576,20.4098333,NA,NA
" ","Stuhm ",1060,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,132,0,"1533-12-17","German","AAWO",1533,53.632826,10.102875,NA,NA
" ","Schmolainen",5474,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,219,0,"1540-03-11","German","GStA PK",1540,54.0264576,20.4098333,NA,NA
" ","Kulmsee",1471,"Kulm, Chapter","DANTISCUS Ioannes",998,1,101,0,"1536-06-03","Latin","AAWO",1536,52.514148,13.549898,NA,NA
" ","Valladolid",332,"DANTISCUS Ioannes","Bona  Sforza",1,7,40,0,"1527-04-22","Latin","BCz",1527,41.652251,-4.724532,NA,NA
" ","Löbau",1950,"Baltazar of Lublin","DANTISCUS Ioannes",319,1,15,0,"1538-10-24","Latin","BCz",1538,51.096229,14.670178,NA,NA
" ","Kulmsee",3615,"ZEHMEN Martin von","DANTISCUS Ioannes",179,1,101,0,"1538-02-10","Latin","BCz",1538,52.514148,13.549898,NA,NA
" ","Marienburg",3089,"DANTISCUS Ioannes","WERDEN Johann von",1,9,83,0,"1547-05-13","German","AAWO",1547,52.172531,9.766577,NA,NA
" ","Valladolid",224,"DANTISCUS Ioannes","SZYDŁOWIECKI Krzysztof",1,87,40,0,"1524-11-12","Latin","BNW",1524,41.652251,-4.724532,NA,NA
" ","Piotrków",6080,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,6,0,"1537-10-09","German","AAWO",1537,51.405172,19.703024,NA,NA
" ","Vilnius",1121,"Bona  Sforza","DANTISCUS Ioannes",7,1,8,0,"1534-02-18","Latin","BCz",1534,54.687156,25.279651,NA,NA
" ","Naples",137,"COLONNA Crisostomo","DANTISCUS Ioannes",65,1,14,0,"1519-03-28","Latin","AAWO",1519,40.8539343,14.2466023,NA,NA
" ","Löbau",4779,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,15,0,"1539-06-28","Latin","AAWO",1539,51.096229,14.670178,NA,NA
